NSC,Drug_Name,ChEMBL_ID,SMILES,SMILES_Source,canonical_smiles,InChIKey,drug_id
67574,Vincristine sulfate,CHEMBL501867,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,ChEMBL,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,AQTQHPDCURKLKT-JKDPCDLQSA-N,29
71423,Megestrol acetate,CHEMBL1201139,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ChEMBL,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,RQZAXGRLVPAYTJ-GQFGMJRRSA-N,30
77213,Procarbazine hydrochloride,CHEMBL1200410,CNNCc1ccc(C(=O)NC(C)C)cc1.Cl,ChEMBL,CNNCc1ccc(C(=O)NC(C)C)cc1.Cl,DERJYEZSLHIUKF-UHFFFAOYSA-N,31
79037,Lomustine,CHEMBL514,O=NN(CCCl)C(=O)NC1CCCCC1,ChEMBL,O=NN(CCCl)C(=O)NC1CCCCC1,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,32
82151,Daunorubicin hydrochloride,CHEMBL3247990,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N(C)C)[C@H](O)[C@H](C)O1.Cl,ChEMBL,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N(C)C)[C@H](O)[C@H](C)O1.Cl,LXUULYQZJJTFOD-FVSQGFDJSA-N,33
85998,Streptozocin,CHEMBL1977579,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,ChEMBL,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,AGRCPNMCOXLKFO-BDVNFPICSA-N,34
92859,Arsenic trioxide,CHEMBL5483015,O=[As][As+](=O)[O-],ChEMBL,O=[As][As+](=O)[O-],MOQADKPFYVWPSE-UHFFFAOYSA-N,35
102816,Azacitidine,CHEMBL1489,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,ChEMBL,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,NMUSYJAQQFHJEW-KVTDHHQDSA-N,36
105014,Cladribine,CHEMBL1619,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,ChEMBL,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,PTOAARAWEBMLNO-KVQBGUIXSA-N,37
109724,Ifosfamide,CHEMBL1024,O=P1(NCCCl)OCCCN1CCCl,ChEMBL,O=P1(NCCCl)OCCCN1CCCl,HOMGKSMUEGBAAB-UHFFFAOYSA-N,38
